engrpm,EGRkgph,MSPhum,EngTq,Count,Support,Kvalue,Confidence,First Occurrence Index
2 2 2,4 4 4,0 0 0,  ,243,0.008614605013120984,2.3284098459125047,0.9876543209876543,33795
  ,4 4 4,3 3 3,  ,695,0.0246312550900371,2.3277271309767285,0.9870503597122302,10276
  ,  ,0 0 0,5 6 6,118,0.004180617138720478,2.3269589424691395,1.0,9217
  ,  ,  ,7 7 5,165,0.005845624830332096,2.326897891467107,1.0,11264
2 2 2,4 4 4,  ,  ,672,0.02379875124423129,2.326029549982841,0.9880952380952381,12288
  ,4 4 4,6 6 6,1 1 1,273,0.009664283775223962,2.3250770956482474,0.989010989010989,46080
  ,  ,2 2 2,2 2 2,946,0.03348113292914669,2.3245523971564626,0.9894291754756871,53248
  ,4 4 4,6 6 6,  ,312,0.011039724911772691,2.323988576408712,0.9903846153846154,14336
1 1 2,4 4 4,  ,  ,608,0.0215003167134196,2.3225849594945736,0.9851973684210527,53249
  ,  ,0 0 0,5 5 5,151,0.005338883358972039,2.3222224359207235,0.9933774834437086,10242
  ,4 4 4,  ,1 1 1,3670,0.12974391457786624,2.3219414484001897,0.9877384196185286,8192
  ,  ,  ,5 6 6,401,0.01417066328839019,2.321005327919311,0.9950124688279302,4098
